"author_channel_url","author_channel_url_number"
"https://youtube.com/channel/UC-9oCF-KzcDoQzCBvVUk-wQ","0008364"
"https://youtube.com/channel/UC-9of_40dtNRJ1EgeMcNxPA","0017796"
"https://youtube.com/channel/UC-A9AQ_WRUACS7yywmUr-DA","0020268"
"https://youtube.com/channel/UC-ACww6_Apw9S-YvXM5SjIA","0006509"
"https://youtube.com/channel/UC-ALvuRGXxAz7afR3VbY1_A","0024792"
"https://youtube.com/channel/UC-AbCWyGnluZOQ9tU2oibcw","0011001"
"https://youtube.com/channel/UC-AmsuXVdxu_XakgoYPeSPw","0016774"
"https://youtube.com/channel/UC-Aqd8xwD4btxOxo91-DhHA","0026528"
"https://youtube.com/channel/UC-ArijE07o0R6oeJbK50pDg","0010480"
"https://youtube.com/channel/UC-AwiU2vA2zhz4POXwwizaQ","0004637"
"https://youtube.com/channel/UC-AyIhYF5GnXUTzzXpxEU6w","0025624"
"https://youtube.com/channel/UC-B4GKL2_ON_tAU2d005cUw","0019582"
"https://youtube.com/channel/UC-B94uQ3NMY6Ju_z6i9ofIg","0018026"
"https://youtube.com/channel/UC-Bc1UcVPIN0_rd3-7J8fRw","0006756"
"https://youtube.com/channel/UC-BgOvD4k30zhWFU2fYP66Q","0025156"
"https://youtube.com/channel/UC-BmFlxyb9XkvkNIXxomSGQ","0010477"
"https://youtube.com/channel/UC-BnmmzJ-wFOIDXOf0ZdO_g","0009559"
"https://youtube.com/channel/UC-Bs7F8YwDYQ4Lfcz9zd1Ow","0025884"
"https://youtube.com/channel/UC-C-6E4P5RH7zmfZ9hLRnjQ","0014750"
"https://youtube.com/channel/UC-C1mjQ92j2zwyR8ctNFPOw","0019693"
"https://youtube.com/channel/UC-C5ucvbkFAV-lYr2pEaWow","0006425"
"https://youtube.com/channel/UC-CMaCilIhFqAMOVJTIOhBQ","0015620"
"https://youtube.com/channel/UC-CMkPgoo8P_RvrDYvNuJgw","0013268"
"https://youtube.com/channel/UC-CTqOfYJ8JxUlYqwQXQIkQ","0000978"
"https://youtube.com/channel/UC-CZ5p_k-y_ZzK_nEAT8FBA","0018422"
"https://youtube.com/channel/UC-Cgz3duoqwAi94kAvJAjIw","0001622"
"https://youtube.com/channel/UC-CiZtoucMhqt2CYqRJzJFA","0004061"
"https://youtube.com/channel/UC-CoLkABmTVM6cQj9ICgl1Q","0006705"
"https://youtube.com/channel/UC-CsHz8bzYfAFd10c21lqSg","0000130"
"https://youtube.com/channel/UC-CtDSzp_5iE3xzQC56Sayg","0019651"
"https://youtube.com/channel/UC-CxEc9zh5g0SPz7EpuZHbA","0020439"
"https://youtube.com/channel/UC-DCbkMQrxdMWe_nAd9J6nQ","0013572"
"https://youtube.com/channel/UC-DF6eUGUyxSAgAaqvscdSA","0009440"
"https://youtube.com/channel/UC-DImDAljxpXgTXjGl5_QxQ","0007965"
"https://youtube.com/channel/UC-DKa6hdL1mUyhtHTbJ57DQ","0004334"
"https://youtube.com/channel/UC-DMnZYkCZr3CtF01F2xHHg","0015455"
"https://youtube.com/channel/UC-DSNcRV2K7RXdqzc6_OWmg","0019065"
"https://youtube.com/channel/UC-DaWkeLcL1o6JhlRmt9h4g","0012366"
"https://youtube.com/channel/UC-Dd-5uPGVO276rWyoaJ56Q","0007829"
"https://youtube.com/channel/UC-DiExK4GAp15J4bEQSFpBQ","0022387"
"https://youtube.com/channel/UC-DvSvpNHNYsUVMOpWTFrvg","0022644"
"https://youtube.com/channel/UC-E-0Z5UlKV5etWZhvRcBzg","0002158"
"https://youtube.com/channel/UC-E4j3s_4ndBM-H0Eyy_-tA","0010939"
"https://youtube.com/channel/UC-EC1gTW80OkkGWmcEbEJ7Q","0021832"
"https://youtube.com/channel/UC-EIqnBIIdXklknG_uncSfQ","0017999"
"https://youtube.com/channel/UC-EJDhTdhcf2R2su05Icc1Q","0026700"
"https://youtube.com/channel/UC-EKFMtTHjsYEwbipgH0-NQ","0021458"
"https://youtube.com/channel/UC-EMvTWR2B6f4piOE5FD-wQ","0017171"
"https://youtube.com/channel/UC-ER46fntgWxXHgq1taarPQ","0012660"
