"comment_ID","comment_number"
"UggBRP6IglwBoHgCoAEC.8KYnweGGyDD8rzyXXIan8V","0032046"
"UggBRP6IglwBoHgCoAEC.8KYnweGGyDD8zlv8Tdh2oz","0032045"
"UggBRP6IglwBoHgCoAEC.8KYnweGGyDD9-znmpJHPTo","0032044"
"UggBtJ3nWlovAXgCoAEC","0019688"
"UggC9KZe63AKj3gCoAEC","0012195"
"UggC9KZe63AKj3gCoAEC.8HeB5nSgL948K0LwHVRevQ","0012200"
"UggC9KZe63AKj3gCoAEC.8HeB5nSgL948LVohbXM_s3","0012199"
"UggC9KZe63AKj3gCoAEC.8HeB5nSgL948UavNxQoupA","0012198"
"UggC9KZe63AKj3gCoAEC.8HeB5nSgL948ac9t5RS-mm","0012197"
"UggC9KZe63AKj3gCoAEC.8HeB5nSgL948g_BRmSmRPo","0012196"
"UggCalxErxLg8ngCoAEC","0010195"
"UggCbmuMlVIY_XgCoAEC","0006543"
"UggCbmuMlVIY_XgCoAEC.7-H0Z7-F67L757WIvUCBBz","0006546"
"UggCbmuMlVIY_XgCoAEC.7-H0Z7-F67L757WsQqTTcQ","0006545"
"UggCbmuMlVIY_XgCoAEC.7-H0Z7-F67L757a0DF4ivY","0006544"
"UggCypDN9z1pTngCoAEC","0000553"
"UggCypDN9z1pTngCoAEC.8Sxo4rFhC0v8_fzIAf2eGD","0000554"
"UggDc6egS5zSXngCoAEC","0030484"
"UggDkUe4CcD9eHgCoAEC","0030246"
"UggE1Mq71Bdd7XgCoAEC","0030272"
"UggEWgdNgGr2JHgCoAEC","0017266"
"UggFGtEkOkqZM3gCoAEC","0019668"
"UggFRWGUIi4BuXgCoAEC","0012612"
"UggFb_7wT18PsngCoAEC","0029379"
"UggFb_7wT18PsngCoAEC.8GCV26MzdFS8GCqF0gSzdj","0029382"
"UggFb_7wT18PsngCoAEC.8GCV26MzdFS8GCtFFjM63U","0029381"
"UggFb_7wT18PsngCoAEC.8GCV26MzdFS8GEKcPdrWNV","0029380"
"UggG7dU19Dobt3gCoAEC","0030277"
"UggG7dU19Dobt3gCoAEC.88ijdGcvbIj88yggF479Dx","0030278"
"UggGXMG15kmjxHgCoAEC","0006507"
"UggGcpnRKHisMngCoAEC","0005635"
"UggGkvxW_izdyHgCoAEC","0012575"
"UggGqSUO0YGRMHgCoAEC","0016995"
"UggH4uKnD1lmEHgCoAEC","0002514"
"UggHYWMPeGQqpHgCoAEC","0000581"
"UggHYWMPeGQqpHgCoAEC.8D6ZnRfX5s_8KI_q0d0ghL","0000586"
"UggHYWMPeGQqpHgCoAEC.8D6ZnRfX5s_8KIaLi3SAas","0000585"
"UggHYWMPeGQqpHgCoAEC.8D6ZnRfX5s_8RqDZIj1ntV","0000584"
"UggHYWMPeGQqpHgCoAEC.8D6ZnRfX5s_8TGIhVCLMCX","0000583"
"UggHYWMPeGQqpHgCoAEC.8D6ZnRfX5s_8UxRQ52Q8NJ","0000582"
"UggH_oKErwP8o3gCoAEC","0012191"
"UggH_oKErwP8o3gCoAEC.8JLjMzzVcTj8Wlbs_EOIIf","0012193"
"UggH_oKErwP8o3gCoAEC.8JLjMzzVcTj9CqU-MD3nTc","0012192"
"UggHxiajVxiHLHgCoAEC","0024351"
"UggIEau1YKMbUHgCoAEC","0034349"
"UggIGMU1Tx5HiXgCoAEC","0012579"
"UggIftqhm7n8TngCoAEC","0010470"
"UggJIoulTGtFlXgCoAEC","0017289"
"UggJIoulTGtFlXgCoAEC.7-H0Z7-BK0X70A5FfOeYAw","0017294"
"UggJIoulTGtFlXgCoAEC.7-H0Z7-BK0X70AOy5KBZMm","0017293"
"UggJIoulTGtFlXgCoAEC.7-H0Z7-BK0X70DygW6Ql3e","0017292"
"UggJIoulTGtFlXgCoAEC.7-H0Z7-BK0X71HalZ4IS67","0017291"
"UggJIoulTGtFlXgCoAEC.7-H0Z7-BK0X7797d62LYpo","0017290"
"UggJK6K75SsND3gCoAEC","0017123"
"UggJK6K75SsND3gCoAEC.8LMLuHK4Y3v8MsxvthkC26","0017128"
"UggJK6K75SsND3gCoAEC.8LMLuHK4Y3v8PdtDOfGpdF","0017127"
"UggJK6K75SsND3gCoAEC.8LMLuHK4Y3v8Xmu2zjsOxU","0017126"
"UggJK6K75SsND3gCoAEC.8LMLuHK4Y3v8f88dO1UdjB","0017125"
"UggJK6K75SsND3gCoAEC.8LMLuHK4Y3v8k3CVGOc3RG","0017124"
"UggJh_BeOmcEIngCoAEC","0019695"
"UggJh_BeOmcEIngCoAEC.8Ox0k0dZdIX8ZnKpHwrNIW","0019700"
"UggJh_BeOmcEIngCoAEC.8Ox0k0dZdIX8d1hCSVo8n2","0019699"
"UggJh_BeOmcEIngCoAEC.8Ox0k0dZdIX8eFC1YNg2xV","0019698"
"UggJh_BeOmcEIngCoAEC.8Ox0k0dZdIX8hkms2DFOXA","0019697"
"UggJh_BeOmcEIngCoAEC.8Ox0k0dZdIX9J-82cE-wL9","0019696"
"UggJqlOpwI62tngCoAEC","0032156"
"UggKAbHz1-H0BngCoAEC","0017184"
"UggKCu3cj9gz43gCoAEC","0024367"
"UggKHSjXRF2RJ3gCoAEC","0005704"
"UggKVk2_gxeOK3gCoAEC","0000563"
"UggKW2lH-tdafngCoAEC","0030305"
"UggKW2lH-tdafngCoAEC.86kuJ31GRUU88ygtyFVQfz","0030306"
"UggKeEtsLbWakHgCoAEC","0006486"
"UggKeEtsLbWakHgCoAEC.8AmfPTyZUjj961DcV7FGVX","0006488"
"UggKeEtsLbWakHgCoAEC.8AmfPTyZUjj9P_mQyV5bXk","0006487"
"UggL80lBYhkXCXgCoAEC","0016742"
"UggL9EXpjHK7b3gCoAEC","0030330"
"UggL9EXpjHK7b3gCoAEC.858ZeXWglJa88yhVsCzmSM","0030331"
"UggL9aiQgp6p5XgCoAEC","0030271"
"UggLQAMzAbO3v3gCoAEC","0000670"
"UggLQAMzAbO3v3gCoAEC.7-H0Z7-7k6B7-H84T8dwKl","0000673"
"UggLQAMzAbO3v3gCoAEC.7-H0Z7-7k6B7-H8MjMmuUi","0000672"
