"channel_url","channel_number"
"https://youtube.com/channel/UCDqchFCm3HNLAob6OpsLWLw","0000446"
"https://youtube.com/channel/UCDxegpGzdcbkRyHgItPrcmA","0000046"
"https://youtube.com/channel/UCEUzL21uz35GrsS_XgnDAwg","0000364"
"https://youtube.com/channel/UCEV2XhKJm-azknSVB7Sbyow","0000286"
"https://youtube.com/channel/UCEVxJBUpXhAIqhXpJcWH99A","0000371"
"https://youtube.com/channel/UCEYQ_9JVn9FPpn_lkRLLelg","0000129"
"https://youtube.com/channel/UCEwEYnO7yey-oBzyNu-AauQ","0000063"
"https://youtube.com/channel/UCExlufi9hrbtq5sM_VtwNRA","0000292"
"https://youtube.com/channel/UCF4LEacx9sDvAbEJnlaJfKQ","0000005"
"https://youtube.com/channel/UCFjf-pT2E617uwD6vCDQ-ww","0000354"
"https://youtube.com/channel/UCFlAikIiOWEQUvEVMWHuroQ","0000244"
"https://youtube.com/channel/UCFyRz1N_T-rnSkbaAH_TFAw","0000190"
"https://youtube.com/channel/UCG-iSMVtWbbwDDXgXXypARQ","0000012"
"https://youtube.com/channel/UCG0JobEI68HpE43yiQ0dyUA","0000340"
"https://youtube.com/channel/UCGDU6IRhDFkD-daqQE8KqfQ","0000066"
"https://youtube.com/channel/UCGblQyc4NfpsQ2hLMUYRqZg","0000387"
"https://youtube.com/channel/UCGlWDqOhHtUeVhk1entUQOw","0000241"
"https://youtube.com/channel/UCGlnqQVh8lQKyIM7lvdAcqw","0000393"
"https://youtube.com/channel/UCGwKEoWD8nGLiNWgsrzT5-Q","0000290"
"https://youtube.com/channel/UCH1oRy1dINbMVp3UFWrKP0w","0000041"
"https://youtube.com/channel/UCHI_pOZyhxbf3Iwwh6AHW7A","0000407"
"https://youtube.com/channel/UCHLxd9CFzIt813EUIxAdPAQ","0000209"
"https://youtube.com/channel/UCHOgtQ7wm3e_fdPPZnkkzYA","0000388"
"https://youtube.com/channel/UCHP9uJm_6_qN3yIEnim7PLQ","0000089"
"https://youtube.com/channel/UCHuJbHaouCTciR7Ga1ZRTGg","0000043"
"https://youtube.com/channel/UCIUscWXS0R_ZpAshY1OJCRQ","0000154"
"https://youtube.com/channel/UCIZsFfi6PHanEaxNs7qchjQ","0000026"
"https://youtube.com/channel/UCIhyFTv9atw0J376__FazEQ","0000243"
"https://youtube.com/channel/UCJiVL5HXZrkUo346wNow5TQ","0000224"
"https://youtube.com/channel/UCJmSX7ghommK3pwMLGNUvPA","0000386"
"https://youtube.com/channel/UCJoevwt_BlGrHZfq5NSPMKA","0000151"
"https://youtube.com/channel/UCK6Haw7IYXjmyRH7EyJcOUA","0000081"
"https://youtube.com/channel/UCKBglnzX51P42TFA03wmLWg","0000173"
"https://youtube.com/channel/UCK_Jl1TAsI2dvH_ewDJnDuA","0000040"
"https://youtube.com/channel/UCKb6MDRAgNaZlY8Vt9Z2aRA","0000141"
"https://youtube.com/channel/UCKjU3KzdbJE1EFcHVqXC3_g","0000256"
"https://youtube.com/channel/UCL-yKZ_kCuKBHyeRfePpvuw","0000221"
"https://youtube.com/channel/UCLEWsjO8ixGVNrLA-TBPqjw","0000077"
"https://youtube.com/channel/UCLv7Gzc3VTO6ggFlXY0sOyw","0000258"
"https://youtube.com/channel/UCML-NzwqPMfCnabqHS7rWIQ","0000328"
"https://youtube.com/channel/UCMZ_9w3kQ3sNUcAdS3ryAgA","0000171"
"https://youtube.com/channel/UCMla9EyQDlPXUBsWOwmMqZg","0000080"
"https://youtube.com/channel/UCNHRcRQzdrx2_5wFJYdVaWw","0000428"
"https://youtube.com/channel/UCNIuS6vFNdRynVtnppx0sjA","0000078"
"https://youtube.com/channel/UCNJD3acUsLhJAuF3s2vmZzw","0000137"
